row_id,is_urban,age,female,married,education_level,literacy,can_add,can_divide,can_calc_percents,can_calc_compounding,employed_last_year,share_hh_income_provided,income_ag_livestock_last_year,income_friends_family_last_year,income_government_last_year,income_own_business_last_year,income_private_sector_last_year,income_public_sector_last_year,num_times_borrowed_last_year,borrowing_recency,formal_savings,informal_savings,cash_property_savings,has_insurance,has_investment,bank_interest_rate,mm_interest_rate,mfi_interest_rate,other_fsp_interest_rate,num_shocks_last_year,avg_shock_strength_last_year,borrowed_for_emergency_last_year,borrowed_for_daily_expenses_last_year,borrowed_for_home_or_biz_last_year,phone_technology,can_call,can_text,can_use_internet,can_make_transaction,phone_ownership,advanced_phone_use,reg_bank_acct,reg_mm_acct,reg_formal_nbfi_account,financially_included,active_bank_user,active_mm_user,active_formal_nbfi_user,active_informal_nbfi_user,nonreg_active_mm_user,num_formal_institutions_last_year,num_informal_institutions_last_year,num_financial_activities_last_year,poverty_probability,country_A,country_C,country_D,country_F,country_G,country_I,country_J,religion_N,religion_O,religion_P,religion_Q,religion_X,relationship_to_hh_head_Father/Mother,relationship_to_hh_head_Head,relationship_to_hh_head_Other,relationship_to_hh_head_Sister/Brother,relationship_to_hh_head_Son/Daughter,relationship_to_hh_head_Spouse,relationship_to_hh_head_Unknown,employment_category_last_year_employed,employment_category_last_year_housewife_or_student,employment_category_last_year_other,employment_category_last_year_retired_or_disabled,employment_category_last_year_unemployed,employment_type_last_year_irregular_seasonal,employment_type_last_year_not_working,employment_type_last_year_other,employment_type_last_year_salaried,employment_type_last_year_self_employed
15,1,19,1,0,2.0,1,1,1,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
16,0,49,0,0,0.0,0,1,0,0,0,1,4.0,1,0,0,0,0,0,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,3,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17,0,35,1,1,2.0,1,1,1,1,1,1,2.0,1,1,0,1,0,0,2,2,0,1,1,1,1,0.0,0.0,0.0,10.0,0,0.0,1,1,0,2,0,1,0,1,2,1,0,1,0,1,0,1,0,1,0,1,1,4,0.404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
18,0,55,1,0,0.0,0,1,0,0,0,1,5.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19,0,21,1,0,2.0,1,1,0,1,0,1,5.0,1,1,0,1,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,1,4.0,0,0,0,2,1,1,1,1,2,0,0,1,0,1,0,1,0,1,0,1,1,4,0.523,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20,1,28,1,1,1.0,1,1,1,1,1,1,3.0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0,3,1,1,1,1,2,1,1,1,0,1,1,1,0,0,0,2,0,6,0.404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
21,0,52,0,1,2.0,1,1,0,0,1,1,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4.0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0.584,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,1,19,0,0,3.0,1,1,1,0,1,0,2.0,0,1,0,0,0,0,1,2,0,0,1,0,0,0.0,0.0,0.0,0.0,1,4.0,0,0,0,3,1,1,1,1,2,1,0,1,0,1,0,1,0,0,0,2,1,4,0.409,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
23,1,17,0,1,0.0,0,1,1,0,0,1,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,3,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0.26,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
24,0,67,1,0,2.0,1,1,1,1,1,1,2.0,1,1,1,0,0,0,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,2,5.0,1,0,1,2,1,1,0,1,2,1,1,1,1,1,1,1,1,1,0,3,1,5,0.28,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
25,0,67,0,1,1.0,1,1,1,0,0,0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0.282,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
26,0,56,0,1,0.0,0,1,1,0,0,1,5.0,0,0,0,0,0,0,1,2,0,0,1,0,1,0.0,0.0,0.0,0.0,1,4.0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
27,0,34,0,1,2.0,1,1,0,1,1,1,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
28,0,23,0,0,1.0,1,1,1,0,1,1,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0.0,0.0,0.0,0.0,1,4.0,0,0,0,3,1,1,1,1,2,1,0,1,0,1,0,1,0,0,0,2,0,3,0.569,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
29,0,20,0,0,2.0,1,1,1,1,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3.6666666666666665,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
30,0,54,0,1,2.0,1,1,0,0,0,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2.5,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,1,0.282,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,0,24,1,1,1.0,0,1,0,0,0,1,4.0,1,1,0,1,0,0,1,2,0,1,1,0,1,0.0,0.0,0.0,0.0,3,3.333333333333333,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.983,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
32,0,45,1,1,0.0,0,1,0,0,1,1,2.0,1,0,0,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0.0,0.0,3,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0.342,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
33,0,23,1,1,1.0,0,1,1,0,1,0,2.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0.0,0.0,0.0,0.0,2,1.5,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.449,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
34,0,47,0,1,2.0,0,1,1,0,0,1,5.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
35,0,30,0,1,1.0,1,1,1,1,1,1,5.0,1,0,0,0,0,0,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2.0,1,1,1,1,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0.895,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
36,0,17,1,1,2.0,1,1,1,1,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1.0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
37,0,32,0,1,2.0,1,1,1,1,0,1,1.0,1,1,0,0,0,0,3,2,0,1,1,1,0,0.0,0.0,3.0,0.0,0,0.0,1,1,1,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,8,0.132,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
38,0,37,0,1,2.0,1,1,1,0,1,1,5.0,1,1,0,1,0,0,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0,0.0,1,0,1,3,1,1,1,1,2,1,1,1,0,1,1,1,0,0,0,3,0,9,0.295,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
39,0,26,1,1,2.0,1,1,1,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
40,0,33,1,1,1.0,1,1,1,1,1,0,1.0,0,0,0,0,0,0,2,2,0,0,1,0,0,0.0,0.0,0.0,0.0,1,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
41,1,35,0,1,2.0,1,1,1,1,1,1,5.0,0,1,0,0,0,0,2,2,1,1,0,0,0,0.0,0.0,0.0,0.0,1,4.0,0,0,0,2,1,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,1,0.879,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
42,0,30,0,1,2.0,0,1,1,0,0,1,4.0,1,0,0,0,0,0,3,2,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1.0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
43,0,23,0,1,1.0,0,1,1,1,1,1,3.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,3,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0.342,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
44,1,31,1,1,3.0,1,1,1,1,0,1,5.0,0,1,0,1,0,0,0,0,1,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0,3,1,1,1,1,2,1,1,1,0,1,1,1,0,1,0,2,1,4,0.309,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
45,0,34,1,1,0.0,0,1,0,1,0,0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0.664,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
46,1,22,0,0,1.0,0,1,1,0,1,1,5.0,0,0,0,0,1,0,1,2,1,1,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,3,1,1,0,1,2,0,0,1,1,1,0,1,1,0,0,2,0,5,0.437,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
47,0,51,1,1,1.0,1,0,1,0,0,1,5.0,0,0,0,1,0,0,2,2,0,1,1,0,0,0.0,0.0,0.0,0.0,2,3.0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
48,0,29,1,1,1.0,1,1,1,1,0,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
49,0,67,0,1,1.0,1,1,1,1,1,0,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4.0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,1,0.8490000000000001,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50,0,38,1,1,1.0,0,1,1,1,1,1,2.0,1,0,0,1,0,0,0,0,1,1,1,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0,3,1,0,0,1,2,0,1,1,0,1,0,1,0,1,0,2,1,4,0.591,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
51,0,60,1,0,0.0,0,1,0,1,1,1,3.0,1,1,0,0,0,0,1,2,1,0,1,0,0,0.0,0.0,0.0,0.0,1,5.0,1,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,1,0,3,0.342,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
52,1,19,0,0,2.0,1,1,1,0,0,0,2.0,0,0,0,1,0,0,3,2,0,1,0,0,0,0.0,0.0,0.0,100.0,3,1.3333333333333333,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0.071,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
53,0,15,1,0,0.0,0,1,0,1,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
54,1,64,0,1,1.0,0,0,0,0,0,1,5.0,0,0,0,0,1,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,1,0,4,0.437,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
55,0,29,0,1,1.0,0,1,1,0,1,1,3.0,1,0,0,0,1,0,2,2,1,0,0,0,0,0.0,0.0,0.0,0.0,1,3.0,0,0,1,2,0,0,1,0,2,1,1,1,0,1,1,1,0,0,0,2,0,3,0.883,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
56,0,56,0,1,0.0,0,1,1,1,1,0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0.7509999999999999,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
57,0,60,1,1,1.0,1,1,1,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
58,1,35,1,1,1.0,1,1,1,1,0,1,2.0,0,0,0,1,0,0,1,2,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
59,0,45,0,1,1.0,0,1,1,0,0,1,5.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
60,1,46,0,0,0.0,0,1,0,0,0,1,5.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
61,0,24,1,1,2.0,1,1,1,1,0,1,2.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,3,1.6666666666666667,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
62,0,61,1,1,0.0,0,0,0,0,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.982,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
63,0,43,1,1,0.0,0,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.846,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
64,0,24,1,1,1.0,1,1,1,0,1,1,2.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,3,2.333333333333333,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.95,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
65,0,30,1,1,0.0,0,1,0,0,0,0,1.0,0,1,0,0,0,0,1,2,0,0,1,0,0,0.0,0.0,0.0,0.0,1,5.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
66,0,25,1,0,2.0,1,1,1,0,0,0,1.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,3,1.3333333333333333,0,0,0,2,1,1,1,0,2,1,1,0,0,1,1,0,0,0,0,1,0,2,0.191,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
